utt_id,seed,n_cands,mbr_idx,mbr_hyp
4323-13259-0000-0,42,5,0,the church bells were ringing and people on the avenue going by to service turned curious inquiring looks up at the great house and then went on talking of the recent events which had so strangely entered into and made history in the city
4323-13259-0001-1,42,2,0,and all through his impassioned appeal this morning there was a note of sadness and rebuke and stern condemnation that made many of the members pale with self accusation or with inward anger
4323-13259-0002-2,42,6,0,raymond had voted to continue for another year the saloon
4323-13259-0003-3,42,7,0,the christians of raymond stood condemned by the result
4323-13259-0004-4,42,1,0,for that had been the fact in raymond for years the saloon ruled
4323-13259-0005-5,42,14,0,president marsh sat there his usual erect handsome firm bright self confetent bearing all gone his head bowed upon his breast the great tears rolling down his cheeks unmindful of the fact that never before had he shown outward emotion in a public service
4323-13259-0006-6,42,1,0,what if he had begun to do as jesus would have done long ago
4323-13259-0007-7,42,3,0,when had the first church yielded to such a baptism of tears
4323-13259-0008-8,42,1,0,what had become of its regular precise conventional order of service undisturbed by any vulgar emotion and unmoved by any foolish excitement
4323-13259-0009-9,42,2,0,they had been living so long on their surface feelings that they had almost forgotten the deeper wells of life
4323-13259-0010-10,42,15,5,the meeting was tender it glowed with the spirit s presence it was alive with strong and lasting resolve to begin a war on the whisky power and raiment that would break its reign for ever
4323-13259-0011-11,42,5,2,since the first sunday when the first company of volunteers had pledged themselves to do as jesus would do the different meetings had been characterised by distinct impulses or impressions
4323-13259-0012-12,42,3,0,and all through it ran one general cry for deliverance from the saloon and its awful curse
4323-13259-0013-13,42,16,1,grey and his wife were besieged by enquirers who wanted to know what lorine s friends and acquaintances were expected to do in paying their last respects to her
4323-13259-0014-14,42,6,0,gray had gone up to virginia s and after talking it over with her and maxwell the arrangement had been made
4323-13259-0015-15,42,16,11,i am and always have been opposed to large public funerals said grey whose complete wholesome simplicity of character was one of its greatest sources of strength but the cry of the poor creatures who knew lorien is so earnest that i do not know how to refuse this desire to see her and pay her poor body some last little honour what do you think mister maxwell
4323-13259-0016-16,42,2,0,i will be guided by your judgment in the matter
4323-13259-0017-17,42,3,0,i am sure that whatever you and miss page think best will be right
4323-13259-0018-18,42,3,0,under the circumstances i have a great distaste for what seems like display at such times but this seems different
4323-13259-0019-19,42,4,0,it happened that that afternoon a somewhat noted newspaper correspondent was passing through raymond on his way to an editorial convention in a neighboring city
4323-13259-0020-20,42,2,1,she was a common street drunkard and yet the services at the tent were as impressive as any i ever witnessed in a metropolitan church over the most distinguished citizen
4323-13259-0021-21,42,1,0,it struck me of course being a stranger in the place with considerable astonishment to hear voices like those one naturally expects to hear only in great churches or concerts at such a meeting as this
4323-13259-0022-22,42,2,0,mister maxwell spoke of the fact that the dead woman had been fully prepared to go but he spoke in a peculiarly sensitive manner of the effect of the liquor business on the lives of men and women like this one
4323-13259-0023-23,42,8,1,raymond of course being a railroad town and the center of the great packing interests for this region is full of saloons
4323-13259-0024-24,42,2,0,then followed what was perhaps the queer part of this strange service
4323-13259-0025-25,42,1,0,it was one of the simplest and at the same time one of the most impressive sights i ever witnessed
4323-13259-0026-26,42,1,0,there must have been a hundred of these women and i was told many of them had been converted at the meetings just recently
4323-55228-0000-27,42,3,1,the next moment he fell back in amazement before the impetuous rush of a starry eyed flush cheeked young woman who demanded
4323-55228-0001-28,42,2,0,where is he pete miss billy gasped the old man
4323-55228-0002-29,42,16,1,aunt hannah s cheeks too were flushed and her eyes starry but with dismay and anger the last because she did not like the way pete had said miss billy s name
4323-55228-0003-30,42,3,2,it was one matter for her to object to this thing billy was doing but quite another for pete to do it of course it is she
4323-55228-0004-31,42,7,0,retorted aunt hannah testily as if you yourself didn t bring her here with your crazy messages at this time of night pete where is he
4323-55228-0005-32,42,7,0,interposed billy tell mister bertram i am here or wait i ll go right in and surprise him
4323-55228-0006-33,42,5,1,pete had recovered himself by now but he did not even glance towards aunt hannah
4323-55228-0007-34,42,7,0,miss billy miss billy you re an angel straight from heaven you are you are oh i m so glad you came
4323-55228-0008-35,42,4,0,it ll be all right now all right he s in the den miss billy
4323-55228-0009-36,42,3,1,billy turned eagerly but before she could take so much as one step towards the door at the end of the hall aunt hanna s indignant voice arrested her billy stop
4323-55228-0010-37,42,5,0,pete go tell your master that we are here and ask if he will receive us pete s lips twitched
4323-55228-0011-38,42,1,0,but his face was preternaturally grave when he spoke
4323-55228-0012-39,42,3,2,a flying figure brushed by him and fell on its ses by the couch with a low cry bertram s eyes flew open
4323-55228-0013-40,42,16,0,dangling found him there a minute later polishing a silver teaspoon with a fringed napkin that had been spread over bertram s tray
4323-55228-0014-41,42,16,0,in the hall above aunt hannah was crying into william s grey linen duster that hung on the hall rack aunt hannah s handkerchief was on the floor back at hillside
4323-55228-0015-42,42,9,3,then very gradually it dawned over them that there was after all something strange and unexplained it it all
4323-55228-0016-43,42,5,0,as if to make sure that she was here like this he drew her even closer bertram was so thankful that he did have one arm that was usable
4323-55228-0017-44,42,6,0,why of course stammered billy i couldn t help thinking that maybe you had found out you didn t want me
4323-55228-0018-45,42,1,0,demanded bertram angry and mystified
4323-55228-0019-46,42,9,0,as for my not painting again you didn t understand pete dearie
4323-55228-0020-47,42,4,0,she pulled herself half away from bertram s encircling arm
4323-55228-0021-48,42,2,0,billy drew a quivering sigh
4323-55228-0022-49,42,14,0,good heavens is kate and this too bertram s voice was savage now
4323-55228-0023-50,42,1,0,well she wrote a letter
4323-55228-0024-51,42,8,0,billy laughed gaily but she shifted her position and did not meet her lover s eyes
4323-55228-0025-52,42,3,0,and you never did think for a minute billy that you cared for him
4323-55228-0026-53,42,2,1,he had not been slow to mark the swift lowering of her eyelids
4323-55228-0027-54,42,5,0,billy was so glad bertram had turned the question on her love instead of arkwrights
4323-55228-0028-55,42,6,0,after a minute billye stirred and sighed happily
4323-55228-0029-56,42,4,0,you see i wasn t in love with mister arkwright
4323-55228-0030-57,42,11,0,and and you didn t care it specially for for miss winthrop
4323-55228-0031-58,42,3,0,billy put a soft finger on his lips
4323-55228-0032-59,42,13,4,bertram kissed the finger and subsided humph he commented
4323-55228-0033-60,42,2,0,well what is that is that kate too demanded bertram grimly
4323-55228-0034-61,42,1,0,there was another silence then suddenly bertram stirred
4323-55228-0035-62,42,12,0,billy i m going to marry you to morrow he announced decisively
4323-55228-0036-63,42,5,2,i don t know as i can trust you out of my sight till then you ll read something or hear something or get a letter from kate after breakfast tomorrow morning that will set you saving me again and i don t want to be saved that way
4323-55228-0037-64,42,6,0,i m going to marry you to morrow i ll get he stopped short with a sudden frown confound that law i forgot
4323-55228-0038-65,42,1,0,five days indeed sir
4323-55228-0039-66,42,1,0,i wonder if you think i can get ready to be married in five days
4323-55228-0040-67,42,6,3,don t want you to get ready retorted bertram promptly i saw marie gett ready and i had all i wanted of it
4323-55228-0041-68,42,16,0,if you really must have all those miles of tablecloths and napkins and doilies and lace rufflings will do it afterwards not before but
4323-55228-0042-69,42,1,0,besides i need you to take care of me cut in bertram craftily
4323-55228-0043-70,42,2,0,the tender glow on billy s face told its own story and bertram s eager eyes were not slow to read it
4323-55228-0044-71,42,3,0,sweetheart see here dear he cried softly tightening his good left arm
4323-55228-0045-72,42,3,0,billy my dear
4323-55228-0046-73,42,4,0,it was aunt hannah s plaintive voice at the doorway a little later
4323-55228-0047-74,42,1,0,we must go home and william is here too and wants to see you
4323-55228-0048-75,42,3,1,you mean itll be before october
4323-55228-0049-76,42,2,1,aunt hannah glanced from one to the other uncertainly
4323-55228-0050-77,42,4,0,yes nodded billy demurely
4323-55228-0051-78,42,6,3,yes i know that is a good while cut in bertram merrily
4323-55228-0052-79,42,6,0,we wanted it to morrow but we had to wait on account of the new license law
4323-18416-0000-80,42,3,0,there was no answer and after one or two ineffectual attempts phronsie turned fearfully away
4323-18416-0001-81,42,16,0,i ll try and she laid a quick hand on the knob
4323-18416-0002-82,42,2,0,two red spots burned on her cheeks and her pale blue eyes snapped
4323-18416-0003-83,42,16,1,oh i m sure i heard it raging up and down
4323-18416-0004-84,42,1,0,i don t want any dinner said charlotte drawing back
4323-18416-0005-85,42,1,0,yes indeed said polly cheerily just as fine as can be
